,User_ID,Changed Field,Initial Value,Final Value,Delta,Number of Changes
248,@BharatStockLive,Bio,"𝐌𝐚𝐫𝐤𝐞𝐭 𝐋𝐢𝐯𝐞 𝐔𝐩𝐝𝐚𝐭𝐞𝐬 | 𝐍𝐞𝐰𝐬 & 𝐀𝐧𝐚𝐥𝐲𝐬𝐢𝐬 | 𝐒𝐄𝐁𝐈 M𝐨𝐯𝐞𝐬, 𝐈𝐏𝐎 B𝐮𝐳𝐳, T𝐫𝐞𝐧𝐝𝐬 Y𝐨𝐮𝐫 E𝐝𝐠𝐞 T𝐨 P𝐫𝐨𝐟𝐢𝐭.","TRUSTED BY THOUSANDS FOR RELIABLE STOCK UPDATES | NSE & BSE NEWS | MUTUAL FUNDS, EQUITY, IPOS | #STOCKMARKET #BHARATSTOCKUPDATES",39.0,3
262,@Blubaycrab,Bio,"IronAunt. Democracy Defender. Avid kayaker, lover of the Great Outdoors. You can often find me on the Colorado River or the beach in NJ. PsychNP. Science ROCKS","Democracy Defender. Avid kayaker, lover of the Great Outdoors. You can often find me on the Colorado River or the beach in NJ. PsychNP. Science ROCKS",-10.0,1
301,@BuyBTCcoinX,Bio,"http://BuyBTCcoin.com - Created 2024.
Bitcoin is still in its early phase, and no one can halt its growth.","http://BuyBTCcoin.com • Created 2024.
Bitcoin is still in its early phase, and no one can halt its growth.",0.0,1
327,@CNBCTV18News,Bio,"Follow business news with India's Leading Business News Channel, CNBC-TV18. For more updates, follow 
@CNBCTV18Live
.

WhatsApp:  https://tinyurl.com/ydwd52km","Follow business news with India's Leading Business News Channel, CNBC-TV18. For more updates, follow 
@CNBCTV18Live
.

YouTube: https://youtube.com/@CNBC-TV18",0.0,1
372,@CheekyCommons,Bio,"@CheekyCommons
, a UK firebrand since '24, delivers razor-sharp takes on UK, US, and international politics, dismantling globalist agendas. #LetThemSpeak","UK & USA truth-teller exposing government flops, globalist schemes, and media spin. Champion of free speech, unafraid to challenge the narrative.",-8.0,1
459,@CuriousCats_US,Bio,CuriousCats are your AI-powered news hunters! This handle fetches the latest #US News facts from across the internet. Get your fix at http://curiouscats.ai.,CuriousCats are your AI-powered news hunters! This handle fetches the latest News facts from across the internet. Get your fix at http://curiouscats.ai.,-4.0,2
469,@Cyber_O51NT,Bio,"#OSINT treasure hunter, investigator, #CyberThreatIntel analyst, cyberspace explorer. Opinions are my own.
Telegram: https://t.me/cyberosintosint","#OSINT treasure hunter, investigator, #CyberThreatIntel analyst. Opinions are my own. Follow me on Telegram https://t.me/cyberosintosint for cyber news.",7.0,1
489,@DailyFinanc,Bio,"Daily Financial, Markets and Business news from around the world","Daily Financial, Markets, Business,Technology and News from around the world",12.0,2
496,@Dan82523,Bio,"Leader. Winner.  1st.

49ers. SFGiants. Nuggets. UFC.

CEO of 
@MMAHedgeFunds
 Inc.

MMA Sharp. Investor. Politics.

$SKI $SPX $ADA $AVAX $AAVE

#JesusIsKing","Leader. Winner.  1st.

49ers. SFGiants. Nuggets. UFC.

CEO of 
@MMAHedgeFunds
 Inc.

MMA Sharp. Investor. Politics.

$SPX6900 $SKI $AVAX $AAVE

#JesusIsKing",-1.0,1
499,@DanCostellodeux,Bio,"Trade Specialist seeks (remote) work:  Int'l Business Research, Teaching, Learning Design & #PMOT Consulting.
QUT Qualified Remote PMP. New Materials Research.","Web3 Project Manager 
@webforth
 Managing projects across decentralized networks with precision, agility, and a deep understanding of Web3 workflows. #QUT #UOW",0.0,1
504,@DanielCuesta007,Bio,"Making The Most Of Being Curious

Website | Newsletter: https://danielcuesta007.com

LinkedIn: https://linkedin.com/in/danielcuesta007…","Making The Most Of Being Curious

Author Of The Wednesdays Of Wisdom Newsletter: https://danielcuesta007.com",-27.0,1
529,@DeepFlowcc,Bio,"Empowering Web3 wallets with multimodal code generation capabilities, integrating MCP to pioneer an AI-driven BSC knowledge interaction hub.","AI Coding & Multi Agent MCP Engine
CA: 0xb11e6ed6f481fd954dcd4585d8877ace06acadfe
Web: https://deepflow.cc  TG: https://t.me/+otM_FaDNBK1iZjNl…",3.0,1
542,@DennisGossen,Bio,#SpaceIndustry #SpaceExploration #SpaceStation #SmartSystem  http://bit.ly/4kmOQmn #SpaceOil  http://bit.ly/4iNDq9F #Satellite #Network #PrivateArmy #NeuralTech,#SpaceIndustry #SpaceExploration #SpaceStation #SmartSystem  http://bit.ly/4kmOQmn #SpaceOil  http://bit.ly/4iNDq9F #Satellite  #PrivateArmy,-20.0,2
555,@DingerBetTips,Bio,Daily ACCAS and Parlays to go to the very top  Join my FREE Telegram group for exclusive daily ACCAS  https://t.me/DingerTipsBetting…,Daily ACCAS and Parlays to go to the very top  Join my PREMIUM Telegram group for exclusive daily ACCAS  https://sublaunch.com/dtpremium,3.0,1
594,@Drishtiteaching,Bio,विभिन्न टीचिंग व एंट्रेंस एग्ज़ाम्स की तैयारी व इनसे संबंधित लेटेस्ट अपडेट्स पाने के लिये हमें फॉलो करें!,"All Teaching Exams at one place
 Courses |  Updates |  Daily prep
 Call 87501 87501 for guidance",-9.0,1
629,@EconomicTimes,Bio,"Official account of The Economic Times, India's No. 1 Destination for Business News, Economy, Politics and More | A Times Internet Product","The Economic Times (Official) India's No. 1 Destination for Business News, Economy and Politics | A Times Internet Product
:feedback@economictimes.com",12.0,1
680,@ExgayNews,Bio,You have entered my Matrix. Welcome Scribes...  I am Phoenix... Anne Edwards... You have been a naughty little.... Recalculating for pleasant undertones..... :),"Attention, CockRoach Nation should depart from Roys Command as they have turned to the Dark Side.",-63.0,5
687,@FH_Sports1,Bio,"Co-host of 
@TheBroCouncil2
 | #LakeShow| #LightsUpLetsGo |#PhinsUp| #Isles| #GoHabsGo| #ManCity| #GoIrish| #UNC| #LSU","Co-host of 
@TheBroCouncil2
 | #LakeShow| #LightsUpLetsGo |#PhinsUp| #Isles|#ManCity| #CelticFC| #GoIrish| #UNC| #LSU| #F1",4.0,2
691,@FIFAWorldCup,Bio,"The official account of the #FIFAWorldCup 
 
@FIFACWC",#BeachSoccerWC   01-11 May  Seychelles,-15.0,1
705,@FarrarN57854,Bio,"Do “don’t” well. Inke catte, aye; live frite -aende dice-
@Pontifex
 said I'm a ""writer,"" & it's important. SCOTUS said I was a guard-My state was exterminated",I’m pretty much done being a hobo,-126.0,1
744,@FranciscoGaffn,Bio,"I am helping companies translate ESG complexity into a competitive advantage, stakeholder value, and higher revenue. Contact  http://trinityESG.net","I help companies translate EAM, ERP, GRC, and ESG complexity into a competitive advantage, stakeholder value, and higher revenue.  https://trinityses.com",6.0,1
758,@FundedNext,Bio,"FundedNext Futures | Futures Prop Trading Firm
For every trader, every market.
https://fundednext.com/futures","For every trader, every market.",-78.0,1
824,@GlobalXFrontier,Bio,"The News That Matters:  Tracking Global Events, Economic Impacts, Environmental Changes, and the Human Story. Follow for updates.",Don't miss a beat. Follow for essential news and analysis to keep you ahead and informed about your world.,-23.0,1
827,@Global_NewsWire,Bio,"Breaking news and updates from around the world.  Accurate, unbiased reporting. Follow us for the latest headlines and analysis.  Stay informed with Us.","Delivering breaking news, exclusive reports, and in-depth analysis from around the world.
Committed to accuracy, objectivity, and serving a global audience.",4.0,1
875,@HarryO1975,Bio,Making a call for #BlackAmerica to come together in #BlackUnity for #BlackEmpowerment. (Code: #BU4BE) Support The Cash App: $HT859,Making a call for #BlackAmerica to come together in #BlackUnity for #BlackEmpowerment. (Code: #BU4BE),-29.0,1
932,@Ibnalbarrr,Bio,"حتى الشهادة أو النصر 
War analysis and photographer","حتى الشهادة أو النصر 
War analysis and photographer.

founder of : Homeland Task Force ( H.T.F )",45.0,1
998,@JOKNS1TW,Bio,"IT系Webメディア ジャンクお宝鑑定団の本アカ/ 
@UstToday
 の裏方/エイスース部所属 
@Abu_ASUSJP
‖ エンジョイ勢 ※顔出し＆声出し‖ 
@worldcoinfnd
 World ID正保有者(2024/10～)‖ ※つぶやきは個人の見解  自己紹介はリンクにあります","IT系Webメディア ジャンクお宝鑑定団の本アカ/ 
@UstToday
 の裏方/エイスース部所属 
@Abu_ASUSJP
‖ エンジョイ勢 ※顔出し＆声出し‖ ※つぶやきは個人の見解  自己紹介はリンクにあります",-40.0,1
1001,@JOLY__RENAUD,Bio,"COACH MUSCULATION
 SPONSORS FITADIUM 
 10% de réduction code FITARENAUD","SPONSORS FITADIUM 
 10% de réduction code FITARENAUD",-19.0,1
1019,@JeffBensonIOWA,Bio,"Iowa Prep Illustrated: Midwest Sports, Tweets For The Ultimate Fans. Informative News & Scoreboards #GoPackGo #MNTwins #BringTheNice  #NHLJets Romans 8:38-39","Iowa Prep Illustrated: Midwest Sports, Tweets For The Ultimate Fans. Informative News & Scoreboards #GoPackGo #MNTwins #Timberwolves #NHLJets Romans 8:38-39",-1.0,1
1039,@JinJooWon,Bio,진주원 원장 공식  #Crypto #XRP #BTC #News  #AI #Artist & #NFT #Creator #AIArt Digital Assets | #Kpop Trends & Healing Vibes | #XCryptoNews | No financial advice,진주원 원장 공식 #NFT & #XCryptoNews Creator#미국경제뉴스 · 글로벌 트렌드 | #Crypto #Bitcoin #TSLA #NVDA Web3 News 암호화폐 #비트코인 | #일본어 & #KPOP 마인드셋 감성 교육  #Mindset EBookDYOR,-1.0,6
1058,@JulienceUS,Bio,"Julience | Indie artist from Manchester, born in the Netherlands. Rock with a heavy guitar edge.  http://julience.com
Pls Pre-Save Highway Maintenance","Julience | Indie artist from Manchester, born in the Netherlands. Rock with a heavy guitar edge.  http://julience.com",-33.0,1
1092,@KashyLocks,Bio,Just an profitable sports bettor tryna make a name for myself |Free Daily Plays| POTD Record:116-52 Join the Dubclub for more locks,Just an profitable sports bettor tryna make a name for myself |Free Daily Plays| POTD Record:134- 59| Join the Dubclub for more locks,2.0,1
1116,@Kingbel38572765,Bio,I SUPPORT ELON MUSKI’m a Republican! Trump fucked up  millions of people’s retirement ira etc! I will never vote republican again! IDC What Happens!,UFC PICKS! ))I SUPPORT ELON MUSKI’m a Republican! Trump fucked up millions of people’s retirement ira etc! I will never vote republican again! IDC What Happens!,12.0,1
1210,@MH2025_Official,Bio,Domain investor | Digital assets  | Cat lover  | Sometimes miss the laid-back vibe of the 90s/2000s  | Exploring the digital world  | Let’s connect,Domain investor | Digital assets  | Dad| Cat lover  | Sometimes miss the laid-back vibe of the 90s/2000s  | Exploring the digital world  | Let’s connect,5.0,1
1222,@Maahokgit,Bio,Web App Dev  Mental Health Advocate  Volunteer First Responder  Biker  Cat Dad,"Web App Dev
 Mental Health Advocate
 Volunteer First Responder
 Biker
 Cat Dad",0.0,1
1232,@MadhusudanAch12,Bio,"Politics, Entertainment, Economics, History","Global Updates, Politics and Legal Cases",-3.0,1
1270,@MarketsAcross,Bio,Wall Street Insight,Wall Street Insight,0.0,2
1327,@Mitchal011,Bio,"Countries Combat zone newsIf you would like to Support my Coverage of #Russia, Ukraine,NATO, Israel and Iran  Strikes or any of my other Content, kindly follow",Update on global conflicts and tensions,-120.0,1
1343,@MonicaSager3,Bio,"Reporter, formerly at 
@newsweek
, 
@eagletrib
 || All opinions are my own || Education: 
@ClarkUniversity
 @MedillSchool","Managing Editor of The Swampscott Tides, formerly at 
@newsweek
, 
@eagletrib
 || All opinions are my own || Education: 
@ClarkUniversity
 @MedillSchool",31.0,1
1346,@MoniifyBusiness,Bio,"Your go-to space for business, tech & finance updates in emerging markets.","Markets | Crypto | AI | Real Estate | Tech | Luxury
 partnerships@moniify.com",3.0,1
1356,@MrSpiritsRaven,Bio,"We Work In The Dark To Serve The Light. 
We Are Legion. We Do Not Forgive. We Do Not Forget. Expect Us.  Free #PalestineGaza #SaveAfrica","We Work In The Dark To Serve The Light. 
We Are Legion. We Do Not Forgive. We Do Not Forget. Expect Us. ‍ Free #PalestineGaza #SaveAfrica",1.0,1
1359,@MrStealth27,Bio,Finance+Crypto+Life Insights | Random thoughts | A Dash of Humor | Not Your Advisor—Trade at Your Own Risk #Crypto #stocks,Finance+Crypto+Life Insights | Random thoughts | A Dash of Humor | Not Your Advisor—Trade at Your Own Risk #Crypto #Stocks #Bitcoin,9.0,1
1369,@MsPacNWer,Bio,"IF I BLOCK YOU, YOU EVIDENCED AS A KREMLIN T.O.C. DISINFO ASSet. RU wh0re porn accts reported to FBI for sex trafficking. 

#StopRussianGlobalTerrorism","IF I BLOCK YOU, YOU EVIDENCED AS A KREMLIN T.O.C. DISINFO ASSet. RU wh0re porn accts reported to FBI for sex trafficking. #StopRussianGlobalTerrorism",-2.0,1
1372,@Muhamma48493081,Bio,"Journalist. Views r my own & not my organization's. I own RTs. Past: TrimFeed, Amu TV, Hum News, GNN, Hum Pashto one news and 
@ForsigeNews","Journalist. Views r my own & not my organization's. I own RTs. Past: TrimFeed, Amu TV, Hum News, GNN, Hum Pashto one news and ForsigeNews",-2.0,1
1479,@ODDSETAZ01,Bio,"- FOOTBALL PREDICTIONS 
- SURE TIPS 
- WINING TIPS AND ODDS
- 95% SAFE BETS
- 95% GUARANTEED RETURNS 
 https://linktr.ee/ODDSETAZ","Sports News  
Transfers market update
 News flash and highlights
 Match fixtures and video Reels
 Tips and Odds on Telegram 
 https://t.me/oddsetaz",18.0,2
1485,@OOSSports,Bio,"The most ""OutOfSight"" highlights, plays, hilarious memes & more in all sports!    Your ultimate sports hub  Other socials","The most ""OutOfSight"" highlights, plays, hilarious memes & more in the sports world!  Your ultimate sports hub  Other socials   
@ClutchPoints",21.0,1
1551,@PapiSneh101,Bio,"Farmer | Entrepreneur | Wellness coach | Masculinity | Self Development |

Chef & Co-founder 
@Dwellnesskitchn
 | I empower you to achieve overall wellness","Farmer | Entrepreneur | Wellness coach | Masculinity | Self Development |

Master Chef & Co-founder 
@Dwellnesskitchn
 | I empower you to achieve overall wellness",7.0,1
1573,@PecosBill817,Bio,".1 % of Mensa, Chef, Published Writer, Wing Chun practitioner, Friend, lover, Fighter, Inventor, Massive Dyslexic, Math is wrong.",".1 % of Mensa, Chef, Published Writer, Wing Chun practitioner, Friend, lover, Fighter, Inventor, Massive Dyslexic, Math is wrong. (817)939-1290 text me no calls",31.0,1
1597,@PolSciEconSalsa,Bio,"45 yrs of seeing the worst & the best of the world, nicely perched a top of NYC, where sentido comun comes to die. A sitting president CANNOT be prosecuted","Independent seeing the worst & the best of the world, nicely perched a top of NYC, where sentido comun comes to die. A sitting president CANNOT be prosecuted",2.0,1
1614,@PouringPotions,Bio,Simplified newsletter for a long healthy life.,"Health made simple
 Free Newsletter | Thurs & Sun
 Pouring little potions of health in your inbox
 Stay curious. Stay strong. Subscribe free",94.0,1
1623,@ProfitFellow,Bio,"शेयर बाज़ार, कमोडिटी बाज़ार, सोना, चाँदी, क्रूड और नेचुरल गैस आदि के लिए फ़ॉलो कर सकते हैं","शेयर बाज़ार, कमोडिटी बाज़ार, सोना, चाँदी, क्रूड और नेचुरल गैस आदि के लिए यहाँ फ़ॉलो कर सकते हैं या टेलीग्राम से जुड़ सकते हैं - https://t.me/ProfitFellow",63.0,1
1652,@READINGONYOURH1,Bio,"Welcome to classroom ready & pupil generated quizzes that can be instantly shared! 
Proud to be a Let Teachers SHINE 2022 Winner.",Reading comprehension for primary schools and KS3. Engage pupils with content they want to read and accurately track their progress.,3.0,1
1673,@RandomCryptoPal,Bio,"#Bitcoin, myself and I. Bigger Bitcoin maxi than Michael Saylor, holding more BTC than Satoshi Nakamoto. Posts are bullshit ONLY! Not a financial advice. DYOR!","#Bitcoin investor. I AM RICH! It's EASY, sell TOP buy BOTTOM, it's that simple. But many people fail ‍! Posts are bullshit ONLY! Not a financial advice. DYOR!",-1.0,1
1679,@Randy_jones123,Bio,"Ta chart consultant,5-6 signal day, coaching newbies on how to make it,NY and travel, father of two lovely daughter join
https://t.me/+R0r1eXfFhAc3ODg0…","Ta chart consultant,5-6 signal day, coaching newbies on how to make it,NY and travel, father of two lovely daughter join
https://t.me/+a1fMO3tqMoBlYWU0…",0.0,1
1731,@Roberto05246129,Bio,I am a free electron,I am a free electron . It's not about left or right; it's up or down.,49.0,1
1762,@SECURE_TECHS,Bio,"ALL ETHICAL HACKING:
we only accept cases we believe success is guaranteed, we are transparent & swift to evaluate and solve every case. send a direct message","ALL ETHICAL HACKING
we only accept cases we believe success is guaranteed°we are always transparent & swift to attend to request, dm https://wa.me/14092557026",0.0,1
1773,@SShanthReddy,Bio,"Bharat Mata Ki Jai 

Jai Rebel Star #Prabhas #MSDhoni #TheRock",Jai Rebel Star Prabhas Anna,-35.0,2
1786,@Sally_A1c,Bio,"Meet Sally, the FIRST Metabolic Health AI Agent.
http://creator.bid/agents/678648cdba2b8db95be3f5bb… CA:0x1f1c695f6b4a3f8b05f2492cef9474afb6d6ad69","Health First, Wealth Follows powered by Sally TG : https://t.me/sallya1c CB : https://creator.bid/agents/678648cdba2b8db95be3f5bb…",-16.0,1
1793,@Sandy5Suzi,Bio,"Married 20 yr's now, several children between us & Grandchildren. Previous marriages none of own but they are ours. Claim us or not.","Married 21 yr's now, several children between us & Grandchildren. Previous marriages none of own but they are ours. Claim us or not.",0.0,1
1840,@Sid_Healthcare,Bio,"@JohnsHopkins
 Grad | #Medtech Consulting | Ex 
@Frost_Sullivan
. 
To track latest industry & tech trends & innovations in my posts, use #tags or keywords search.","@JohnsHopkins
 Grad | #Medtech Consultant | Ex 
@Frost_Sullivan
. 
To track latest industry & tech trends & innovations in my posts, use #tags or keywords search.",0.0,1
1899,@SpideyBets,Bio,Pro Cappers  #BOOM,#BOOM,-13.0,1
1918,@Stock_Precision,Bio,NSE CertifiedOptions Trader - Index & Stocks  Portfolio Investing Ex Wilhelmsen  All Tweets for Education only.,"NSE Certified AnalystFounder - Stock Precision, Co-founder -Magnus Hathaway Portfolio Investing Ex Wilhelmsen  All Tweets for Education only.",30.0,1
1945,@SyrianOsint,Bio,OSINT Monitor • Syriac •  • PoliSci Student • Libertarianism • Posts in ENG/ARB • Geopolitics & Military • Extremely anti-Jihadist • Focus:,OSINT Monitor • Syrian •  • PoliSci Student • Libertarianism • Posts in ENG/ARB • Geopolitics & Military • Extremely anti-Jihadist • Focus:,0.0,1
1946,@TCEA,Bio,"Nonprofit est 1980 • Shares teaching & #edtech resources + ideas 
Elem Conference | June 15-17 http://elementary.tcea.org
LibCon June 25-27  http://tcea.org/libcon2025","Nonprofit est 1980 • Shares teaching & #edtech resources + ideas 
LibCon June 24-26  http://tcea.org/libcon2025
AI Con | Jul 22-24  http://tcea.org/events/ai",-10.0,1
1985,@Tauriel375270,Bio,Just a Random guy hanging out on X,Public Figure,-21.0,1
2041,@ThinksabioIndia,Bio,"Unleash Profitable Trading Strategies with ThinkSabio
Join here for Stocks group   https://t.me/+tI0DrFsQibhiODhl…
For Options- http://t.me/+1TYJVt1IR9ZmY…","Unleash Profitable Trading Strategies with ThinkSabio
Join here for Stocks group   https://t.me/+tI0DrFsQibhiODhl…
For Options- https://t.me/+1TYJVt1IR9ZmYmM1…",4.0,1
2085,@TruthDiggerX,Bio,Unfiltered takes on UK politics | Exposing the truth behind headlines |,"Unfiltered takes on world politics | Straight Talking,Straight Forward |",1.0,1
2105,@UNIQUEMUSIC90,Bio,"Welcome to Unique Music
 Turn on notifications to stay updated with new uploads!",Discover the latest and greatest in supplements and wellness products!,-10.0,1
2123,@UnfollowTrumpy,Bio,"now also on BlueSky 
@ritacap
.bsky.social",now also on BlueSky @ http://ritacap.bsky.social,6.0,1
2187,@WDJW,Bio,Mighty (Isa9:6) GOD's choice to serve as a #WonderfullyHungry Heart(Jer17:9)Doc & campaign against #AntiChrist45 since 2016&up by being #WonderfullyHungrier.,#ClothedWithPower to serve as a #WonderfullyHungry HeartDoc & campaign against #TheLittleHorn (literally #TheTrump) since 2016&up by being #WonderfullyHungrier.,3.0,1
2225,@WilsonShilo,Bio,"#ANZUS #RIP 1960 1972 - 58,220k #DEAD AMERICANS - AUSTRALIANS 521 - NEW ZEALAND 37 #VIETNAMWAR - VETERAN 66/67/72 VIETNAM WITHDRAWAL - #PEACE VIETNAMESE PEOPLE","#ANZUS #RIP #VETERANS 1960/1972 - 58,220k #DEAD USA - AUST 523 - NZ 37 - VETERAN 66/67/72 WITHDRAWAL VIETNAM 
@Allan78727186
 @WilsonShilo",-21.0,1
2274,@_DailyDoseMedia,Bio,Media Distribution Company | Influence Marketing | BTC | Learn More | JOIN x SHARE x LIKE,Media Distribution Company | Providing Value Daily | Marketing | BTC | Learn More |,-6.0,1
2296,@adriananglin,Bio,"Dedicated Cybersecurity Enthusiast | SOC | Threat Hunting | Cloud Security | Incident Response | DFIR Analyst
Committed to continuous learning.","Cybersecurity Enthusiast | Cloud & On-Prem Security | Threat Hunting | DFIR
Skilled in threat detection & response, with a drive for ongoing skill growth.",11.0,1
2305,@airfreee,Bio,No DM   Inputs are For Entertainment Purposes  New Generation. Take advantage of the $50 free crypto on Gemini Link #Chillguyworld #LION #LVVA,No DM   Inputs are For Entertainment Purposes  New Generation. Grab your Free Crypto #Chillguy #LION #BTC,-37.0,1
2349,@aped_into,Bio,Growth | Professional     trader | $ski mask on | $SPX maxi | ape then research,Growth Alchemist | Pro Trader turned $SPX believer | we are flipping the stock market | Anthroposophy | Homeopathy | Believe in Something,58.0,1
2382,@bansheebabe,Bio,"Twitter's Original Banshee; Founding member, Fishwives Anonymous; Psychic Director, Sullen Arts Foundation","Twitter's Original Banshee; Founding member, Fishwives Anonymous; Psychic Director, Sullen Arts Foundation
**NO DMs**",11.0,1
2399,@bioloGPT,Bio,"Answer Any Biology Question, Powered by Cutting-Edge Research

Ask Now: https://BioloGPT.com","Solve Any Biology Problem, Powered by Cutting-Edge Research

Try Now: https://BioloGPT.com",-2.0,1
2443,@bullbearmarkett,Bio,Talk everything related to stock investments. (not financial advices),Stock Trader. Aim to make PROFIT in BULL & BEAR MARKET (not financial advice),8.0,1
2459,@cathybraypoet,Bio,G’Ma For Refugees. Sydney Fringe repeat offender. Poet. Satirist. #ClimateActionFirst #NoWar #HumanitarianAid #AboriginalLivesMatter #FreeDanDuggan,"Poet. Satirist. Listen to your branches 
@AustralianLabor
 @LabAgainstWar
 #No2AUKUS #ClimateActionFirst and #HumanitarianAid 
@IPAusNet
 #auspol",-2.0,1
2487,@ciaran4320,Bio,"Woke since 5am #FBPE. #GulfOfMexico Opinionated old Lefty curmudgeon. Science, Logic, Music, I show lie peddlers the disrespect they deserve & will insult back.",Woke since 5am #FBPE. #GulfOfMexico #ProIsrael  #ProPalestine . I show lie peddlers the disrespect they deserve & will insult back.,-29.0,1
2537,@cryptonews66,Bio,"INVESTOR | Content Creator | LET’S DISCOVER WITH 
@KAITOAI","INVESTOR | Content Creator | LET’S DISCOVER WITH 
@KAITOAI
 | Exploring 
@OpenLedgerHQ
  @Dydx
 | Yapper KAITO |",54.0,2
2542,@cyb3rshi3ld,Bio,Proven systems to launch & advance careers in Cybersecurity | Training + Community + Industry News | Not sure where to start? Take our quiz |  DMs Open,"Think like a practitioner. Break into cybersecurity with elite training, labs & mental models. Built for the driven. Few make it. Most won’t.",-10.0,2
2555,@dariograbusic,Bio,UEFA A licence coach | Croatia  DM for business inquires,UEFA A | Assistant Coach @ Widzew Łódź  Sharing daily pro drills & training content  Croatian | Based in  #DarioGrabusic,64.0,1
2587,@designdelight24,Bio,"Tired of flimsy tees?

Upgrade to our Cowboy Renaissance Tees
100% organic cotton
Consistent sizing S–3XL
Vibrant Western colors
24.99 Free shipping","Organic Cotton ✦ Retro-Western art ✦ Zero templates, all heart. Shop tees that deliver ranch-ready durability → http://designdelightstudio.myshopify.com",4.0,1
2640,@drishtiias,Bio,"#IAS
Drishti The Vision Foundation is today undoubtedly one of the best Coaching Institutes for Civil Services aspirants in India.","#IAS
Drishti The Vision Foundation is today undoubtedly one of the best Coaching Institutes for Civil Services aspirants in India.

http://t.me/drishtiiasofficial…",33.0,1
