User_ID,Changed Field,Initial Value,Final Value,Delta,Number of Changes
@AhmedK2028,Bio,"Executive Coach|Blockchain Advisor|Ex Co-founder/Board Member.
M.Ed|EMBA|MScDigital Currency|MGSCC/GCG Executive/Team/Global Leadership Coach. My1200 B.C.",ExecCoach|BlockchainAdvisor|PermacultureDesigner|ExCo-founder/BoardMember*MEd|EMBA|MScDigitalCurrency|MGSCC/GCG Executive/Team/GlobalLeadershipCoach.My1200BC,3.0,1
@AhmedK2028,Followers,250,254,4.0,6
@AhmedK2028,Following,2477,2500,23.0,4
@AhmetUr94898233,Followers,4498,4750,252.0,8
@AhmetUr94898233,Following,6331,7032,701.0,9
@AiMoisey,Followers,1460,1524,64.0,5
@AiMoisey,Following,4198,3878,-320.0,6
@AiThority,Followers,7602,7578,-24.0,7
@Aikira_AI,Followers,573,595,22.0,6
@Aikira_AI,Following,40,47,7.0,5
@AimforProfit,Followers,675,676,1.0,4
@AimforProfit,Following,1544,1579,35.0,5
@AkulmachLive,Followers,2116,2112,-4.0,5
@AkulmachLive,Following,4881,4872,-9.0,4
@AlanWainstein,Followers,43,40,-3.0,4
@Albinauric_CTO,Followers,938,917,-21.0,4
@Alejandroverra,Followers,152,156,4.0,6
@Alejandroverra,Following,234,233,-1.0,1
@AletihadEn,Followers,602,651,49.0,7
@Alevskey,Following,1342,1341,-1.0,3
@Alex27740737,Followers,2908,2908,0.0,6
@Alex27740737,Following,1037,1035,-2.0,3
@Alex58Gv,Followers,151,151,0.0,2
@Alex58Gv,Following,56,56,0.0,2
@AlexForSchools,Followers,227,221,-6.0,5
@Alexand40366818,Followers,4,3,-1.0,1
@AllUKFootball,Followers,1702,1704,2.0,6
@AllUKFootball,Following,1443,1443,0.0,6
@Alpha_Bronze,Bio,"Corporate Access, IR & media firm working w/ growth #LifeSciences #Tech #Mining #Energy #Consumer connect #WallStreet #Investors — No investment advice / DYODD","Corporate Access, IR & media firm working #LifeSciences #Tech #Defense #Mining #Energy firms to connect #WallStreet #Investors — No investment advice / DYODD",-2.0,1
@Alpha_Bronze,Followers,7743,7925,182.0,6
@Alpha_Bronze,Following,4472,4467,-5.0,2
@Altamont_Group,Followers,131,129,-2.0,3
@AlwaysVoteTruth,Followers,322,319,-3.0,4
@AlwaysVoteTruth,Following,527,527,0.0,3
@AmPolGossip,Followers,230,228,-2.0,1
@AmeetaSanghavi,Followers,918,920,2.0,4
@AmeetaSanghavi,Following,872,870,-2.0,4
@AmericanMuslimT,Followers,489,500,11.0,4
@AmericanSalient,Followers,131,130,-1.0,4
@AmitxUpdates,Followers,379,416,37.0,5
@AmitxUpdates,Following,462,468,6.0,2
@Amruta15414101,Followers,90,93,3.0,3
@AnalyStock_ai,Followers,44,42,-2.0,1
@AnandYadav002,Followers,979,932,-47.0,7
@AnandYadav002,Following,760,793,33.0,6
@AndiMbss,Following,51,52,1.0,1
@AndonToken,Followers,674,960,286.0,6
@AndrewHigsdrew,Followers,1439,1444,5.0,7
@AndrewHigsdrew,Following,833,840,7.0,5
@AngelAiTweet,Followers,16,22,6.0,4
@AngeloftheSeize,Bio,#Medic #BeVigilant #déjàvu Read #Constitution #DoYourJob #HardDaysWork #StyleandGrace #Pot is #dumbingdown #NoTaxOnSS http://bidenlaptopreport.marcopolousa.org,#Medic #BeVigilant #déjàvu Read #Constitution #DoYourJob #HardDaysWork #StyleandGrace #Pot s #dumbingdown #fentanylkills #NoTaxOnSocialSecurity #voteNOretention,1.0,1
@AngeloftheSeize,Followers,1924,2054,130.0,6
@AngeloftheSeize,Following,6586,7015,429.0,6
@AngryBMBC2023,Followers,836,1021,185.0,8
@AngryBMBC2023,Following,625,662,37.0,7
@Animal_Nurse,Followers,461,456,-5.0,4
@Animal_Nurse,Following,468,478,10.0,3
@Ann87971634,Followers,260,255,-5.0,6
@Ann87971634,Following,284,287,3.0,3
@Anonymous41961,Followers,985,917,-68.0,6
@Anonymous41961,Following,2371,2340,-31.0,5
@AntSeattle,Followers,6087,6081,-6.0,5
@AntSeattle,Following,6871,6864,-7.0,6
@AntarcticDaily,Followers,29,28,-1.0,1
@Anthony31277490,Followers,148,158,10.0,7
@Anthony31277490,Following,271,270,-1.0,3
@AntiDictatorSEA,Bio,"Share the movement in SEA #WhatsHappeningInMyanmar #FreeWestPapua #ຖ້າການເມືອງລາວດີ #ยกเลิก112 

This account is run by multiple mod and there's violence images","Share the movement in SEA #SaveMyanmar #FreeWestPapua #ຖ້າການເມືອງລາວດີ #ยกเลิก112

This account is run by multiple mod and there's violence images",-13.0,1
@AntiDictatorSEA,Followers,1379,1681,302.0,6
@AntiDictatorSEA,Following,2771,2994,223.0,6
@AnythingbutF,Followers,896,894,-2.0,1
@AnythingbutF,Following,2234,2236,2.0,1
@AponiaAnalytics,Followers,3864,4034,170.0,6
@AponiaAnalytics,Following,3943,4800,857.0,8
@AppaloosaKid,Followers,853,860,7.0,3
@AppaloosaKid,Following,789,789,0.0,2
@Apress,Following,2541,2539,-2.0,6
@ArabCenterWDC,Followers,8886,8919,33.0,5
@ArabCenterWDC,Following,211,210,-1.0,1
@Archana05583518,Followers,22,34,12.0,4
@Archana05583518,Following,58,53,-5.0,3
@ArdentStubborn,Followers,76,80,4.0,4
@ArmyVet2013,Followers,131,128,-3.0,4
@ArmyVet2013,Following,50,55,5.0,2
@ArraourAli,Followers,1753,2025,272.0,4
@ArraourAli,Following,666,737,71.0,4
@AruniJayasekera,Followers,397,420,23.0,7
@AruniJayasekera,Following,216,216,0.0,2
@AscendRebel,Bio,"𝐅𝐮𝐥𝐥-𝐓𝐢𝐦𝐞 𝐖𝐞𝐛𝟑 𝐆𝐫𝐢𝐧𝐝𝐞𝐫 ∆ 𝐃𝐞𝐅𝐢-𝐋𝐞𝐚𝐫𝐧𝐞𝐫 ∆ 𝐂𝐫𝐲𝐩𝐭𝐨 𝐒𝐭𝐮𝐝𝐞𝐧𝐭
∆ 𝐀𝐌𝐁 {
@IxfiExchange
 @AISUEDE
  @richpugtoken
 }

𝐈 𝐫𝐢𝐬𝐞","𝐅𝐮𝐥𝐥-𝐓𝐢𝐦𝐞 𝐖𝐞𝐛𝟑 𝐆𝐫𝐢𝐧𝐝𝐞𝐫 ∆ 𝐃𝐞𝐅𝐢-𝐋𝐞𝐚𝐫𝐧𝐞𝐫 ∆ 𝐂𝐫𝐲𝐩𝐭𝐨 𝐒𝐭𝐮𝐝𝐞𝐧𝐭 ∆ 𝐌𝐢𝐧𝐝𝐬𝐞𝐭 𝐀𝐥𝐩𝐡𝐚-𝐒𝐞𝐞𝐤𝐞𝐫 ∆
AMB 
@IxfiExchange",-15.0,3
@AscendRebel,Followers,710,1042,332.0,6
@AscendRebel,Following,536,722,186.0,6
@AsherSiegel01,Followers,1102,1099,-3.0,6
@AsherSiegel01,Following,268,268,0.0,2
@AsianetNewsEN,Following,876,875,-1.0,1
@AstuteGaba,Followers,4070,4034,-36.0,7
@AstuteGaba,Following,2459,2421,-38.0,8
@AtherGazali,Followers,2225,2248,23.0,6
@AtherGazali,Following,1203,1209,6.0,4
@AtomsDNA,Followers,2028,2051,23.0,6
@AtomsDNA,Following,2320,2349,29.0,5
@AutoFinanceNews,Followers,3802,3797,-5.0,2
@AutoFinanceNews,Following,2265,2262,-3.0,2
@AwazTheVoiceHin,Followers,3675,3674,-1.0,5
@AwazTheVoiceHin,Following,611,612,1.0,3
@AwazThevoice,Following,1117,1116,-1.0,4
@AweSunPower,Followers,36,37,1.0,3
@AzSenzor,Followers,109,110,1.0,5
@AzSenzor,Following,427,426,-1.0,1
@AzerNewsAz,Followers,4519,4516,-3.0,6
@AzerNewsAz,Following,169,168,-1.0,1
@BAMBossie81,Followers,104,137,33.0,6
@BAMBossie81,Following,109,106,-3.0,3
@BAinsley_Noah,Followers,46,48,2.0,2
@BHAMMedicalNews,Followers,997,990,-7.0,3
@BHAMMedicalNews,Following,433,439,6.0,1
@BIS_Infotech,Followers,830,829,-1.0,3
@BLMUK_KIDS,Followers,283,283,0.0,4
@BRAVENEWEUROPE1,Followers,7831,7871,40.0,8
@BRAVENEWEUROPE1,Following,455,455,0.0,3
@BRN_News_facts,Followers,865,863,-2.0,3
@BTCInfoNews,Followers,634,577,-57.0,3
@BWBusinessworld,Bio,BW Businessworld is India’s largest & most respected business magazine known for its independent opinions | http://bit.ly/fb-BW | http://bit.ly/yt-BW,BW Businessworld is India’s largest & most respected business magazine known for its independent opinions,-44.0,1
@BWBusinessworld,Following,446,445,-1.0,1
@BadDad936,Bio,"I am a father, husband, and veteran amongst other things. I identify as a toaster oven and an unapologetic asshole. Piece of Garbage Trump supporter #SBG","I am a father, husband, and veteran, amongst other things. I identify as a toaster oven and an unapologetic asshole. Piece of Garbage Trump supporter #SBG",1.0,1
@BadDad936,Followers,286,291,5.0,2
@BadDad936,Following,472,480,8.0,4
@BadDad936,Location,"Glide, Oregon","Oregon, USA",,1
@BajajBroking,Bio,"India’s Leading Investment & Trading App  Join 1 Million+ Happy Users |  Low Brokerage | Trusted for Decades | IPO, MTF & Stock SIPs under one roof","Making money matters simple. Clear tips, expert insights, and trusted advice to help you invest smarter.",-43.0,1
@BajajBroking,Followers,2491,2632,141.0,6
@BanksterSlayer,Followers,428,483,55.0,5
@BanksterSlayer,Following,744,756,12.0,3
@Bar193929,Followers,33,32,-1.0,2
@BaraqRony,Followers,68,76,8.0,5
@BaraqRony,Following,365,370,5.0,2
@BarefootGenX,Followers,425,428,3.0,5
@BarefootGenX,Following,953,954,1.0,4
@BarlaeDC,Followers,67,64,-3.0,2
@Barry_Snyder,Followers,109,113,4.0,6
@Barry_Snyder,Following,125,127,2.0,2
@Basketball_SK,Followers,963,950,-13.0,4
@Basketball_SK,Following,404,405,1.0,1
@BedminsterNews,Followers,4773,4643,-130.0,8
@BedminsterNews,Following,7484,7460,-24.0,7
@BenBeni22937377,Followers,106,103,-3.0,7
@BenBeni22937377,Following,29,32,3.0,2
@BernardBri66134,Followers,508,520,12.0,4
@BernardBri66134,Following,2283,2279,-4.0,4
@BharatStockLive,Bio,"𝐌𝐚𝐫𝐤𝐞𝐭 𝐋𝐢𝐯𝐞 𝐔𝐩𝐝𝐚𝐭𝐞𝐬 | 𝐍𝐞𝐰𝐬 & 𝐀𝐧𝐚𝐥𝐲𝐬𝐢𝐬 | 𝐒𝐄𝐁𝐈 M𝐨𝐯𝐞𝐬, 𝐈𝐏𝐎 B𝐮𝐳𝐳, T𝐫𝐞𝐧𝐝𝐬 Y𝐨𝐮𝐫 E𝐝𝐠𝐞 T𝐨 P𝐫𝐨𝐟𝐢𝐭.","TRUSTED BY THOUSANDS FOR RELIABLE STOCK UPDATES | NSE & BSE NEWS | MUTUAL FUNDS, EQUITY, IPOS | #STOCKMARKET #BHARATSTOCKUPDATES",39.0,3
@BharatStockLive,Followers,1032,1526,494.0,6
@BharatStockLive,Following,58,65,7.0,5
@Bhekisisa_MG,Following,884,885,1.0,1
@BillieChipieMtl,Followers,331,332,1.0,6
@BillieChipieMtl,Following,470,468,-2.0,2
@BinaryAI_TON,Followers,3151,3070,-81.0,6
@BioBoostt,Followers,46,44,-2.0,5
@BioBoostt,Following,213,216,3.0,1
@BioenergyTimes,Followers,96,97,1.0,1
@BizPartnerMag,Followers,5534,5546,12.0,5
@BizPartnerMag,Following,4520,4515,-5.0,3
@BlackMamba_term,Followers,15,13,-2.0,2
@Blend_of_Bites,Followers,10,11,1.0,1
@Blubaycrab,Bio,"IronAunt. Democracy Defender. Avid kayaker, lover of the Great Outdoors. You can often find me on the Colorado River or the beach in NJ. PsychNP. Science ROCKS","Democracy Defender. Avid kayaker, lover of the Great Outdoors. You can often find me on the Colorado River or the beach in NJ. PsychNP. Science ROCKS",-10.0,1
@Blubaycrab,Followers,564,610,46.0,5
@Blubaycrab,Following,995,1017,22.0,3
@BlueMooGuns,Followers,4296,5397,1101.0,8
@BlueMooGuns,Following,3799,3595,-204.0,8
@BmbEmpower,Following,1916,1927,11.0,5
@BobJ42530477,Followers,159,157,-2.0,3
@BodiedbyBella,Followers,230,234,4.0,5
@Bodruddoza19111,Followers,8,18,10.0,2
@Bodruddoza19111,Following,81,85,4.0,3
@BoldlygoSeattle,Followers,3109,3160,51.0,6
@BoldlygoSeattle,Following,7122,7178,56.0,6
@BoldskyTelugu,Followers,400,401,1.0,4
@Botconsults,Followers,66,79,13.0,5
@Botconsults,Following,374,391,17.0,3
@Boujee_101,Followers,1195,1213,18.0,5
@Boujee_101,Following,852,885,33.0,4
@BradSmithTX,Followers,111,112,1.0,7
@BrainRacers,Followers,516,514,-2.0,6
@BrainRacers,Following,1394,1393,-1.0,3
@BreakingOnCom,Followers,103,75,-28.0,6
@BreakingOnCom,Following,49,50,1.0,1
@BritSkips,Followers,45,48,3.0,2
@BritSkips,Following,289,292,3.0,3
@BruPearce1,Followers,120,118,-2.0,2
@BrusselsMorning,Followers,2977,2982,5.0,6
@BscSteve,Followers,9503,9522,19.0,5
@BslashyP,Followers,434,467,33.0,7
@BslashyP,Following,176,177,1.0,1
@BuffWoofer,Followers,5171,5157,-14.0,5
@BuffWoofer,Following,4393,4392,-1.0,3
@BullMarketRept,Followers,360,363,3.0,3
@BullishBanterES,Followers,285,296,11.0,4
@BullishBanterS,Followers,969,996,27.0,7
@BullishBanterS,Following,112,112,0.0,2
@BusinessConne16,Followers,1598,1592,-6.0,5
@BusinessConne16,Following,251,250,-1.0,1
@BusinessNewsPo1,Followers,696,715,19.0,4
@BusinessNewsPo1,Following,837,843,6.0,2
@BuyBTCcoinX,Bio,"http://BuyBTCcoin.com - Created 2024.
Bitcoin is still in its early phase, and no one can halt its growth.","http://BuyBTCcoin.com • Created 2024.
Bitcoin is still in its early phase, and no one can halt its growth.",0.0,1
@BuyBTCcoinX,Followers,1212,1265,53.0,7
@BuyBTCcoinX,Following,111,113,2.0,1
@CAGreenbuilding,Followers,429,433,4.0,3
@CALIVEDATA,Followers,79,117,38.0,6
@CALIVEDATA,Following,87,89,2.0,2
@CBT_BOYZ,Followers,7,5,-2.0,2
@CBT_BOYZ,Following,40,39,-1.0,1
@CClancy43644154,Followers,501,474,-27.0,4
@CClancy43644154,Following,667,668,1.0,3
@CEEKTechnology,Followers,4217,4219,2.0,2
@CFlyersTV,Followers,371,376,5.0,6
@CFlyersTV,Following,619,612,-7.0,3
@CGodhuli67851,Following,19,36,17.0,1
@CHIGGINBASKET,Followers,741,835,94.0,6
@CHIGGINBASKET,Following,5134,5140,6.0,5
@CHPSRE,Followers,1629,1633,4.0,6
@CHPSRE,Following,7507,7506,-1.0,4
@CITE_EDU,Followers,3051,3039,-12.0,4
@CITE_EDU,Following,2693,2688,-5.0,3
@CKPillai_AI_Pro,Followers,729,701,-28.0,6
@CKPillai_AI_Pro,Following,70,63,-7.0,4
@CK_atwarpspeed,Followers,1603,1601,-2.0,5
@CK_atwarpspeed,Following,4332,4333,1.0,3
@CMichelW,Followers,1022,1028,6.0,7
@CMichelW,Following,2870,2873,3.0,2
@CNBCTV18News,Bio,"Follow business news with India's Leading Business News Channel, CNBC-TV18. For more updates, follow 
@CNBCTV18Live
.

WhatsApp:  https://tinyurl.com/ydwd52km","Follow business news with India's Leading Business News Channel, CNBC-TV18. For more updates, follow 
@CNBCTV18Live
.

YouTube: https://youtube.com/@CNBC-TV18",0.0,1
@CNBCTV18News,Following,180,177,-3.0,2
@CNBC_Awaaz,Following,175,175,0.0,2
@CNNnews18,Following,400,399,-1.0,1
@COVIDTEAMS,Followers,6,5,-1.0,1
@COWNewsOfficial,Followers,34,37,3.0,3
@CULTURALPATHS,Followers,2709,2693,-16.0,4
@CULTURALPATHS,Following,4001,3995,-6.0,4
@CXCounselors,Followers,2698,2698,0.0,3
@CXCounselors,Following,1984,1983,-1.0,1
@CaNdy_FI0ss,Followers,182,270,88.0,6
@CaNdy_FI0ss,Following,91,93,2.0,4
@Calblue5491,Followers,168,194,26.0,5
@Calblue5491,Following,114,114,0.0,2
@CampbellAJ70,Followers,7027,7051,24.0,7
@CampbellAJ70,Following,3512,3500,-12.0,6
@Campus_Tech,Following,438,437,-1.0,1
@Captain35E,Followers,1257,1503,246.0,6
@Captain35E,Following,2599,2600,1.0,2
@CaptureHigherEd,Followers,875,875,0.0,2
@CareersFusion,Followers,26,27,1.0,1
@Carinanq1,Followers,238,215,-23.0,8
@Carinanq1,Following,188,173,-15.0,6
@Carlos_LopezMkt,Followers,140,260,120.0,6
@Carlos_LopezMkt,Following,79,78,-1.0,1
@CarvalhoSousa29,Followers,1003,1006,3.0,6
@CarvalhoSousa29,Following,1448,1470,22.0,4
@Cassandra200011,Followers,209,229,20.0,6
@Cassxdy,Followers,117,123,6.0,5
@CathyMcInturff,Followers,6657,6657,0.0,7
@CathyMcInturff,Following,7365,7371,6.0,4
@CauseAlways,Followers,76,85,9.0,5
@CauseAlways,Following,117,118,1.0,1
@CedarOneRealty,Followers,117,121,4.0,4
@CedarOneRealty,Location,"Wintersville, OH",6 Offices in the OH Valley,,1
@ChadxMichael,Followers,237,241,4.0,4
@ChaniDem,Followers,2532,2570,38.0,8
@ChaniDem,Following,2607,2605,-2.0,5
@Charles21072004,Followers,48,55,7.0,4
@CharlesBLedford,Followers,1717,1738,21.0,4
@CharlesBLedford,Following,3123,3129,6.0,6
@ChartingProdigy,Following,475,488,13.0,4
@ChasinCards,Followers,307,306,-1.0,3
@ChasinCards,Following,525,526,1.0,2
@CheckUs1st,Followers,947,944,-3.0,2
@CheekyCommons,Bio,"@CheekyCommons
, a UK firebrand since '24, delivers razor-sharp takes on UK, US, and international politics, dismantling globalist agendas. #LetThemSpeak","UK & USA truth-teller exposing government flops, globalist schemes, and media spin. Champion of free speech, unafraid to challenge the narrative.",-8.0,1
@CheekyCommons,Followers,152,161,9.0,6
@CheekyCommons,Following,252,258,6.0,3
@CheperkaKathy,Followers,3004,3034,30.0,5
@CheperkaKathy,Following,4104,4107,3.0,6
@Cherylcani1,Followers,83,90,7.0,5
@Cherylcani1,Following,204,205,1.0,1
@ChetKincaid3,Followers,237,247,10.0,5
@ChetKincaid3,Following,1467,1477,10.0,4
@Chickadee50Bee,Followers,47,42,-5.0,5
@Chickadee50Bee,Following,412,0,-412.0,6
@ChrisArienti,Followers,4598,4638,40.0,6
@ChrisArienti,Following,1490,1491,1.0,2
@ChrisJames7327,Followers,46,47,1.0,2
@ChrisJames7327,Following,374,373,-1.0,3
@ChrisLewisLLS,Followers,8207,8211,4.0,6
@ChrisLewisLLS,Following,3486,3498,12.0,5
@Christi80141354,Followers,183,176,-7.0,4
@ChristineGuent8,Followers,912,914,2.0,7
@ChristineGuent8,Following,1218,1223,5.0,6
@Christo51607547,Followers,1676,1700,24.0,6
@Christo51607547,Following,7502,7501,-1.0,5
@CindyJurie,Followers,987,985,-2.0,5
@CindyJurie,Following,725,727,2.0,4
@CitizensCollab1,Followers,100,98,-2.0,3
@CitizensCollab1,Following,62,63,1.0,1
@CityofSTLDOH,Followers,2880,2873,-7.0,5
@CityofSTLDOH,Following,411,415,4.0,2
@ClassDynamics,Followers,250,248,-2.0,6
@ClassDynamics,Following,190,191,1.0,1
@ClaytonSays1,Followers,2601,2608,7.0,4
@ClaytonSays1,Following,5108,5118,10.0,6
@ClerkDev,Following,128,129,1.0,1
@ClimateNewsNow_,Followers,130,130,0.0,6
@Clinical_Renal,Followers,369,375,6.0,2
@Clinical_Renal,Following,662,661,-1.0,1
@ClintechSystems,Followers,28,29,1.0,3
@ClipsMovies123,Followers,94,86,-8.0,5
@ClutchPlaySport,Followers,21,26,5.0,3
@CoSN,Following,1955,1985,30.0,7
@CoachNickMoney,Following,19,21,2.0,1
@CoinGapeMedia,Following,2475,2474,-1.0,3
@CollegeMediaPub,Followers,3547,3542,-5.0,6
@CollegeMediaPub,Following,4707,4705,-2.0,2
@Comm_in_Care,Followers,3828,3841,13.0,5
@Comm_in_Care,Following,5464,5519,55.0,6
@CommunityCommon,Followers,2397,2396,-1.0,5
@ConspiraciesACC,Followers,209,209,0.0,2
@ConspiraciesACC,Following,140,139,-1.0,1
@CordobaADS,Followers,22,24,2.0,2
@CordobaADS,Following,61,61,0.0,2
@Corix_JC,Following,9967,9985,18.0,6
@CotswoldAcademy,Followers,762,755,-7.0,4
@Countdown2Ext,Followers,66,69,3.0,3
@CouponsFreeDis1,Followers,601,607,6.0,6
@CourseMonster,Followers,1521,1521,0.0,4
@Coys197,Followers,103,115,12.0,7
@Coys197,Following,362,375,13.0,7
@CreativeEdu,Following,2804,2799,-5.0,2
@CritMinJrnl,Followers,156,234,78.0,6
@CritMinJrnl,Following,176,185,9.0,2
@CriticalThoug14,Followers,3885,3897,12.0,7
@CriticalThoug14,Following,5144,5142,-2.0,7
@CroakeyNews,Following,3579,3576,-3.0,7
@CronkyLady,Followers,1059,1077,18.0,7
@CronkyLady,Following,851,853,2.0,7
@CrossfitENG,Followers,54,51,-3.0,1
@CrtalkrLewis,Followers,101,99,-2.0,2
@CryptoBitWeb3,Followers,569,520,-49.0,6
@CryptoDonation4,Followers,613,610,-3.0,4
@CryptoDonation4,Following,966,965,-1.0,1
@CryptoMilox,Followers,564,581,17.0,7
@CryptoMilox,Following,730,731,1.0,4
@CryptoNGold,Followers,2878,2946,68.0,6
@CryptoNGold,Following,997,1001,4.0,5
@CryptoStasolla,Followers,4605,4620,15.0,7
@CryptoStasolla,Following,6140,6125,-15.0,7
@Crypto_JS,Followers,69,69,0.0,2
@Cryptobull0007,Followers,464,440,-24.0,6
@Cryptorbix,Followers,1632,1632,0.0,5
@CryptosHeadline,Followers,4846,4847,1.0,6
@CryptosHeadline,Following,336,342,6.0,1
@CsfSudan,Followers,1047,1052,5.0,7
@CsfSudan,Following,248,246,-2.0,2
@CurioQuip,Followers,361,364,3.0,5
@CurioQuip,Following,9,10,1.0,1
@CuriousCatsAI,Followers,106,108,2.0,5
@CuriousCats_US,Bio,CuriousCats are your AI-powered news hunters! This handle fetches the latest #US News facts from across the internet. Get your fix at http://curiouscats.ai.,CuriousCats are your AI-powered news hunters! This handle fetches the latest News facts from across the internet. Get your fix at http://curiouscats.ai.,-4.0,2
@CuriousCats_US,Followers,9,23,14.0,3
@Currentgulfnews,Followers,14,13,-1.0,1
@CveFindCom,Followers,311,335,24.0,5
@CyHusain,Followers,731,734,3.0,4
@CyHusain,Following,1200,1198,-2.0,4
@CyberExpertsUS,Followers,1929,1930,1.0,6
@CyberExpertsUS,Following,1412,1414,2.0,2
